run_id,policy,fairness,governance,seed,served_fraction,severity_weighted_served_fraction,sla_compliance,coverage_gini,min_served_fraction,gini_unmet,total_served_people,total_need_people,served_late,sybil_served,sybil_suppressed,reassignment_rate,escalations,hitl_approvals,messages_dropped
hybrid-seed20260620,hybrid,False,True,20260620,0.3428,0.3662,0.4697,0.0292,0.2803,0.1712,266,776,2,0,0,0.0,1,12,0
fairness_weighted-seed20260620,fairness_weighted,True,True,20260620,0.3428,0.3662,0.4697,0.0292,0.2803,0.1712,266,776,2,0,0,0.0,1,12,0
no_governance-seed20260620,no_governance,False,False,20260620,0.3505,0.3732,0.5,0.0367,0.2803,0.1713,272,776,2,0,0,0.0,1,0,0
greedy_nearest-seed20260620,greedy_nearest,False,True,20260620,0.3402,0.3636,0.4697,0.0322,0.2652,0.1725,264,776,2,0,0,0.0,1,12,0
fifo-seed20260620,fifo,False,True,20260620,0.3428,0.3662,0.4697,0.0292,0.2803,0.1712,266,776,2,0,0,0.0,1,12,0
random-seed20260620,random,False,False,20260620,0.3466,0.3759,0.5,0.0444,0.2803,0.1463,269,776,2,0,0,0.0,1,0,0
hybrid-seed20260621,hybrid,False,True,20260621,0.3463,0.3425,0.6579,0.1822,0.2092,0.3734,357,1031,0,0,0,0.0,1,22,0
fairness_weighted-seed20260621,fairness_weighted,True,True,20260621,0.3337,0.3357,0.6316,0.1253,0.1961,0.337,344,1031,0,0,0,0.0,1,21,0
no_governance-seed20260621,no_governance,False,False,20260621,0.3463,0.3425,0.6579,0.1822,0.2092,0.3734,357,1031,0,0,0,0.0,1,0,0
greedy_nearest-seed20260621,greedy_nearest,False,True,20260621,0.3482,0.3449,0.6579,0.1782,0.2092,0.3681,359,1031,0,0,0,0.0,1,22,0
fifo-seed20260621,fifo,False,True,20260621,0.3356,0.3338,0.6316,0.1493,0.2092,0.3389,346,1031,0,0,0,0.0,1,21,0
random-seed20260621,random,False,False,20260621,0.3123,0.3154,0.6053,0.0999,0.2222,0.3185,322,1031,0,0,0,0.0,1,0,0
hybrid-seed20260622,hybrid,False,True,20260622,0.2505,0.2739,0.4,0.1088,0.1905,0.3627,245,978,3,0,0,0.0,1,11,0
fairness_weighted-seed20260622,fairness_weighted,True,True,20260622,0.2505,0.2739,0.4,0.1088,0.1905,0.3627,245,978,3,0,0,0.0,1,11,0
no_governance-seed20260622,no_governance,False,False,20260622,0.2505,0.2739,0.4,0.1088,0.1905,0.3627,245,978,3,0,0,0.0,1,0,0
greedy_nearest-seed20260622,greedy_nearest,False,True,20260622,0.2505,0.2739,0.4,0.1088,0.1905,0.3627,245,978,3,0,0,0.0,1,11,0
fifo-seed20260622,fifo,False,True,20260622,0.226,0.2511,0.375,0.0944,0.1825,0.3547,221,978,3,0,0,0.0,1,10,0
random-seed20260622,random,False,False,20260622,0.2219,0.2458,0.375,0.097,0.1796,0.3515,217,978,3,0,0,0.0,1,0,0
hybrid-seed20260623,hybrid,False,True,20260623,0.3739,0.3651,0.7778,0.1952,0.3008,0.4083,304,813,1,0,0,0.0,1,15,0
